Have Elitism;Crossover;Mutation;Selection;Valid Chromosomes;Invalid Chromosomes;Time;Best Fitness
True;SinglePoint;RandomResetting;Roulette;701;309;326;72,27723
Have Elitism;Crossover;Mutation;Selection;Valid Chromosomes;Invalid Chromosomes;Time;Best Fitness
True;SinglePoint;RandomResetting;Roulette;693;317;537;69,30693
Have Elitism;Crossover;Mutation;Selection;Valid Chromosomes;Invalid Chromosomes;Time;Best Fitness
True;SinglePoint;RandomResetting;Roulette;664;346;337;72,27723
Have Elitism;Crossover;Mutation;Selection;Valid Chromosomes;Invalid Chromosomes;Time;Best Fitness
True;SinglePoint;RandomResetting;Roulette;678;332;425;73,26733
Have Elitism;Crossover;Mutation;Selection;Valid Chromosomes;Invalid Chromosomes;Time;Best Fitness
True;SinglePoint;RandomResetting;Roulette;693;317;442;73,26733
Have Elitism;Crossover;Mutation;Selection;Valid Chromosomes;Invalid Chromosomes;Time;Best Fitness
True;SinglePoint;RandomResetting;Roulette;669;341;417;71,28712
Have Elitism;Crossover;Mutation;Selection;Valid Chromosomes;Invalid Chromosomes;Time;Best Fitness
True;SinglePoint;RandomResetting;Roulette;672;338;479;71,28712
Have Elitism;Crossover;Mutation;Selection;Valid Chromosomes;Invalid Chromosomes;Time;Best Fitness
True;SinglePoint;RandomResetting;Roulette;696;314;361;73,26733
Have Elitism;Crossover;Mutation;Selection;Valid Chromosomes;Invalid Chromosomes;Time;Best Fitness
True;SinglePoint;RandomResetting;Roulette;655;355;345;72,27723
Have Elitism;Crossover;Mutation;Selection;Valid Chromosomes;Invalid Chromosomes;Time;Best Fitness
True;SinglePoint;RandomResetting;Roulette;685;325;316;75,24753
Have Elitism;Crossover;Mutation;Selection;Valid Chromosomes;Invalid Chromosomes;Time;Best Fitness
True;SinglePoint;RandomResetting;Roulette;687;323;347;72,27723
Have Elitism;Crossover;Mutation;Selection;Valid Chromosomes;Invalid Chromosomes;Time;Best Fitness
True;SinglePoint;RandomResetting;Roulette;687;323;409;70,29703
Have Elitism;Crossover;Mutation;Selection;Valid Chromosomes;Invalid Chromosomes;Time;Best Fitness
